"","dangshen","huangqi"
"SERINC2",0.552442436999999,-0.552038151333334
"PFKP",0.551728410666665,-0.816074486333334
"TNFRSF12A",0.661127440666663,-0.885011588333335
"C8orf4",-0.756764229666667,0.971949181333332
"MIXL1",-0.733546766333334,0.492900240666666
"PANX2",0.657397246333332,-0.751456480000001
"GLIPR1",0.611232096666666,0.758069616
"NR0B2",0.543729545999999,-0.591244405000002
"LOC730382",-0.617706951333335,0.873251591666666
"FTH1",0.599674375333334,0.641058101333332
"SQSTM1",0.550009103333332,-0.664261888000001
"ISM1",-0.589559623000001,1.01876698666666
"NINJ2",0.590005728999999,0.995100973999998
"RPL29",0.529066663333332,-0.540465931666667
"HMGB2",-0.564475812000002,0.215912256333332
"RGS20",0.565140476999999,-0.368744654333335
"OTUB2",0.540350317666666,0.185289079333332
"LOC255326",0.559695133333332,-0.459750174000002
"BDH1",0.603910468666666,0.825465546333333
"CLIC1",0.597628129999998,-1.46633900266667
"CYP51A1",-0.569368749000001,-0.980065114333334
"OVOL2",0.520719849666667,-0.450979662333335
"NCOA3",-0.584028970333335,0.844762476666666
"CIDECP",0.630159634666666,-0.215923977666667
"C14orf73",-0.534485824333335,-0.739710274333334
"KANK4",-0.759534195666669,0.792754904333331
"ARG2",0.532855975333333,0.145720658999999
"IGFBP2",0.625991654999999,0.170598348666666
"AKR1C3",0.609438373333332,-0.331445085666667
"CGNL1",-0.565718961000003,-0.689734745333334
"OSGIN1",0.567859484666666,-0.953969025666668
"RBM39",-0.532450432333334,0.307090948333333
"CARD10",0.552208865666664,0.199650083666666
"PHLDA1",0.566207916666666,-0.710566061000001
"SQLE",-0.727006231333334,0.257931409999999
"ARHGDIB",0.529242253999999,0.444762952666665
"NARF",0.572461984333333,-1.23047316533333
"SEMA3B",-0.585534860000001,0.702758318999999
"PTGR1",0.580771775999998,-0.696585945000001
"PRR7",0.543049125333333,0.135408578666666
"METTL7A",-0.49707855,0.272973454666666
"HSP90B1",-0.513683340000002,0.649590332333331
"PC",0.526492816666666,0.400591981666667
"TBC1D22A",0.615297550333333,0.737261867
"ACSL5",0.503185166666664,-0.499247666333335
"SH3RF2",0.548084099666666,0.787467615999997
"CRYAB",-0.517494648666667,-0.990516065666668
"MOSC1",-0.490926301000001,-0.857205409333334
"C21orf58",-0.493461592333335,0.452660259999998
"LOC645313",-0.572366435000001,-0.690635263333334
"CXXC5",-0.675051926666668,-0.712276937666667
"CYP24A1",-0.490533307666667,-0.825472537666669
"FST",-0.596480375333333,0.326174266666664
"TM4SF19",0.556738562666665,-0.771092141000001
"ANKRD38",-0.606110552000003,0.221909429999998
"CDKN1A",0.491128500999998,0.368276516333333
"NOC4L",0.493547477999998,-0.353899436666668
"NAT8",0.483068069666665,0.404015259666665
"FXYD2",0.515034336,0.286458125666664
"MAT1A",0.502105638666665,-0.582362103
"C7orf54",-0.495141283333334,0.772080236666666
"FCGBP",0.482330017999999,0.415302036999999
"MT1A",-0.490374573333334,-0.327738360666668
"UBP1",-0.540642870000002,-0.512798345666667
"LOC143666",0.500704253999999,-0.485574605333334
"IL32",0.626253859999998,-0.594690580333333
"C9orf75",0.582587423333331,-0.598600032000002
"ANKRD37",0.504734322666665,-0.541763438000001
"TNFAIP8L3",-0.494365588,0.0130628903333319
