"","Model","Nuciferine"
"PGK1",0.540104126491135,-0.0804201086182975
"GPX4",-0.0558118229837631,-0.00727810162040653
"NCDN",-0.104026071234755,-0.0534664798794114
"MORF4L1",-0.115886982382278,0.0642242932643011
"RPL12",0.40106482672296,-0.0143095261479609
"LDHB",-0.551731220172598,0.107725253796132
"RAB6A",-0.0523373735247374,0.119413352504525
"KIF5C",0.208333653108113,0.0203286323073071
"RTN4",-0.209257334359204,0.163607525476767
"SYT1",-0.310810546536536,0.022755327049734
"NPY",1.82357144251351,0.201900152008558
"RPL5",0.367239443714763,0.0101358660354593
"ATP6V1B2",0.235441430093283,-0.00738345976635752
"NDFIP1",-0.201868098777106,0.0564940779957106
"FKBP1A",-0.094356449410282,0.151306529476449
"NDUFB4",-0.541671077824746,0.087729404977468
"CLSTN1",-0.240737858452519,-0.020519502409921
"TIMM8B",-0.251831945354567,0.102297813265757
"HINT1",-0.114704244123872,0.117443135352886
"MRFAP1",-0.0665989177101687,0.0975985426608333
"NME2",0.520172303912114,-0.0347839634911748
"NSG2",-0.523184075660691,-0.00672181072148009
"ATP6V1E1",-0.240401282355374,0.0754757766478786
"ATP5F1D",0.0199031530418887,0.00825047302924777
"TECR",-0.306845755890079,0.0625354740635804
"NACA",0.235195422400905,0.0366439387110049
"NDUFA3",-0.0995079645747293,0.00892634644594546
"RAB3A",-0.658252955557424,0.0519438393496161
"NPTX2",4.35167990789354,0.0583302712701067
"SOD1",-0.0153556825346987,-0.0405370549901746
"SNCA",0.0686225935106438,0.072783840125076
"RPL10A",0.479358854211302,-0.0310574488673054
"MTPN",-0.0126798050121044,0.0420029545312156
"TOMM7",-0.00443269241223742,-0.0239930143168116
"GABARAPL1",-0.15307713653451,-0.0263324737487746
"NDUFB9",-0.0949524933991015,0.0563693962805798
"NDUFA4",-0.328862109369904,0.0887033072030515
"CHCHD2",0.376196095510341,0.0114933692068697
"PFN1",0.734204428435587,-0.000715543117608429
"GPM6B",-0.489477667068732,0.0623768704281242
"SQSTM1",0.135958547881497,-0.0555537988545751
"RPL27A",0.377334021980926,-0.0417883679047282
